Node,node_num,group,comp,press
RV,1,1,0,484.6292428
LV,2,2,0,429.8290928
RA,3,3,15.03759398,592.7745008
LA,4,3,7.518796992,492.4962447
PA1,5,4,0.601503759,4841.730482
AA,6,4,0.37593985,4892.033475
AO1,7,4,0.601503759,4860.143883
AO2,8,4,0.526315789,4796.918362
AO3,9,4,0.30075188,4746.006641
AO4,10,4,0.37593985,4675.040105
PA2,11,4,0.601503759,4811.470905
LUNG,12,4,3.007518797,1155.172729
CA,13,4,0.07518797,4884.829899
BR,14,4,2.255639098,4000.395028
SVC,15,4,7.518796992,766.9976633
UB,16,4,6.390977444,2457.179817
HE,17,4,22.55639098,818.3869359
INTE,18,4,1.879699248,1515.464456
KID,19,4,0.15037594,4175.648122
IVC,20,4,4.511278195,717.5452866
PLAC,21,4,11.27819549,2768.236595
UV,22,4,2.255639098,997.5467963
LEG,23,4,30.07518797,1331.917537
