Node,node_num,group,PenComp_ml_mmHg,comp,press,press mmhg
RV,1,1,0,0,484.6292428,3.643828894
LV,2,2,0,0,429.8290928,3.23179769
RA,3,3,2,15.03759398,592.7745008,4.456951134
LA,4,3,1,7.518796992,492.4962447,3.702979284
PA1,5,4,0.08,0.601503759,4841.730482,36.40398858
AA,6,4,0.05,0.37593985,4892.033475,36.78220658
AO1,7,4,0.08,0.601503759,4860.143883,36.54243521
AO2,8,4,0.07,0.526315789,4796.918362,36.06705536
AO3,9,4,0.04,0.30075188,4746.006641,35.68426046
AO4,10,4,0.05,0.37593985,4675.040105,35.15067748
PA2,11,4,0.08,0.601503759,4811.470905,36.17647297
LUNG,12,4,0.4,3.007518797,1155.172729,8.685509241
CA,13,4,0.01,0.07518797,4884.829899,36.72804436
BR,14,4,0.3,2.255639098,4000.395028,30.07815811
SVC,15,4,1,7.518796992,766.9976633,5.766899724
UB,16,4,0.85,6.390977444,2457.179817,18.47503622
HE,17,4,3,22.55639098,818.3869359,6.153285233
INTE,18,4,0.25,1.879699248,1515.464456,11.3944696
KID,19,4,0.02,0.15037594,4175.648122,31.39585054
IVC,20,4,0.6,4.511278195,717.5452866,5.395077343
PLAC,21,4,1.5,11.27819549,2768.236595,20.81380899
UV,22,4,0.3,2.255639098,997.5467963,7.500351852
LEG,23,4,4,30.07518797,1331.917537,10.01441757
